8	nyx8	3573	#08141e,#0f2a3f,#20394f,#f6d6bd,#c3a38a,#997577,#816271,#4e495f
8	rkbv	798	#15191a,#8a4c58,#d96275,#e6b8c1,#456b73,#4b97a6,#a5bdc2,#fff5f7
8	ammo-8	934	#040c06,#112318,#1e3a29,#305d42,#4d8061,#89a257,#bedc7f,#eeffcc
8	dawnbringers-8-color	1390	#000000,#55415f,#646964,#d77355,#508cd7,#64b964,#e6c86e,#dcf5ff
8	matriax8c	1630	#f0f0dc,#fac800,#10c840,#00a0c8,#d24040,#a0694b,#736464,#101820
8	fantastic-8	601	#dbdbdd,#9c8e8e,#524ba3,#1f1e23,#6a9254,#dcac6c,#e55656,#73493c
8	generic-8	498	#1c1121,#edece9,#a13b3b,#f37f9a,#ee961a,#2d5365,#40a933,#25a6c5
8	westmost-8	193	#131315,#4a5381,#b96f5a,#dadada,#343651,#644338,#4c9453,#cab17a
8	generic-8-color	147	#000000,#cc3500,#5ec809,#1d286f,#00c4ff,#8e8e8e,#ffe052,#ffffff
8	armor-8	287	#181819,#857d7d,#f6f6f5,#444d8e,#463737,#aa3d33,#e9b370,#4a9042
8	3-bit-rgb	351	#000000,#ff0000,#00ff00,#0000ff,#00ffff,#ff00ff,#ffff00,#ffffff
8	fairy-tales	96	#0e30a6,#d20000,#4dd928,#ffe600,#4b3159,#83606f,#708f4d,#adb870
8	haretro8	135	#ffe6d2,#ffb400,#32b4ff,#0ac832,#cc66cc,#c73b32,#995f3d,#1e2832
15	impromptu-15	275	#eee0b7,#debb59,#b48d6c,#c0624d,#a34646,#6d4859,#4a3e4f,#39373f,#404269,#4d5d75,#7b9096,#7fb8b5,#8fab62,#6e8a6c,#70755a
15	apple-ii	183	#000000,#515c16,#843d52,#ea7d27,#514888,#e85def,#f5b7c9,#006752,#00c82c,#919191,#c9d199,#00a6f0,#98dbc9,#c8c1f7,#ffffff
15	jewel	165	#321e2d,#662431,#b8281c,#d26a12,#f2c53c,#f0e89c,#dfb77f,#bc7b62,#79416b,#566094,#4a8fa9,#4dc1b3,#73e37b,#7482a1,#9cacba
15	msx	579	#000000,#cacaca,#ffffff,#b75e51,#d96459,#fe877c,#cac15e,#ddce85,#3ca042,#40b64a,#73ce7c,#5955df,#7e75f0,#64daee,#b565b3
15	zx-spectrum	509	#000000,#0022c7,#002bfb,#d62816,#ff331c,#d433c7,#ff40fc,#00c525,#00f92f,#00c7c9,#00fbfe,#ccc82a,#fffc36,#cacaca,#ffffff
15	generic-15	470	#222428,#5c596f,#a59ab6,#f4f0f4,#703f30,#d5555f,#ff95cf,#d7772d,#f3c775,#ffd8c3,#186444,#7ca230,#2b51a7,#169ac8,#81d5d7
15	magic-15	145	#11000b,#2b152b,#383038,#1e415b,#774372,#ba5150,#676a72,#587a44,#a089d6,#d99065,#afb8b6,#8ec5da,#9ccc82,#e8d876,#e3eac5
15	softy-15	94	#d9f6ea,#f1da04,#22172c,#3ec9ee,#bed3dc,#d0a841,#9cb31a,#0ea84a,#9fb8ae,#bd6666,#657140,#99119c,#156090,#40136d,#5c3411
15	axol15	80	#670c69,#bc0e58,#dc5c10,#f8f59e,#ecffff,#aed968,#5c88c2,#3f29a3,#3f1b49,#5a341b,#945936,#d0af82,#b5bb97,#5f6b64,#1e4246
15	mord15	142	#231923,#786973,#f5e6fa,#96d2f0,#6987a5,#3c3c5f,#507855,#9baf78,#e6e19b,#c89b82,#aa5564,#644146,#41234b,#a07da0,#e1afbe
15	autum15-yellow	96	#550000,#882211,#cc8844,#ddbb99,#ffddbb,#ddcc77,#999944,#555533,#ffffee,#bbddff,#6677aa,#666677,#443344,#223355,#111122
15	nevercreature-15	84	#181824,#593020,#5071a1,#61b68d,#c67569,#c2a530,#e2ae99,#d2eef6,#24484c,#6d7940,#409d34,#8f7045,#92e77c,#89d2e2,#eeda9d
15	autum15	83	#666677,#001122,#331111,#550000,#882211,#aa6622,#bb9977,#ffddbb,#ffffee,#555533,#999944,#6677aa,#bbddff,#443344,#112244
15	mmtec-vp1	128	#000000,#131384,#841313,#bd2e1b,#555555,#138413,#7a70da,#cf7925,#d870da,#aaaaaa,#80d456,#6ad7d8,#e5c587,#efe879,#ffffff
